position,id,title,url,phases,intents,summary,purpose,watch_when,next_task
1,f5lKVWyaQZw,💸 Cómo aumentar tu ticket de venta (gana más con los mismos clientes),https://www.youtube.com/watch?v=f5lKVWyaQZw,F2_producto_nicho;F6_ventas_cierre;F8_optimizacion_escala,elegir_o_mejorar_producto;ventas_cierre;optimizar_escalar,Clase paso a paso sobre aumentar tu ticket de venta (gana más con los mismos clientes).,"Ayudar a aumentar el valor promedio por pedido usando oferta, bundles, upsells o mejor presentación de valor.",Recomendar cuando el alumno pida ayuda con: cómo aumentar tu ticket de venta (gana más con los mismos clientes).,Aplicar 1 mejora a la oferta o mensaje de venta y mandar evidencia.
2,4LQahV-Kxvg,🛒 Cómo crear una página de producto que sí vende (Parte 2),https://www.youtube.com/watch?v=4LQahV-Kxvg,F2_producto_nicho;F4_tienda_canal,elegir_o_mejorar_producto;configurar_tienda_canal,"Continuación práctica de “Cómo crear una página de producto que sí vende (Parte 2)”, enfocada en aterrizar estructura, elementos y ajustes para mejorar conversión.","Guiar al alumno a estructurar una página/ficha de producto que comunique valor, confianza y CTA claro.",Recomendar cuando el alumno pida ayuda con: cómo crear una página de producto que sí vende (parte 2).,Aplicar la estructura al producto actual y enviar link/captura para revisión.
3,2cNPkhipNuc,📲 Cómo crear videos virales sin empezar desde cero (estrategia fácil),https://www.youtube.com/watch?v=2cNPkhipNuc,F1_entender_modelo;F5_contenido_lanzamiento,aprender_desde_cero;crear_contenido,Clase paso a paso sobre crear videos virales sin empezar desde cero (estrategia fácil).,Dar estructura práctica para crear contenido que atraiga atención y lleve a la venta sin empezar desde cero.,Recomendar cuando el alumno pida ayuda con: cómo crear videos virales sin empezar desde cero (estrategia fácil).,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
4,3B3G0e3OodY,🛒 Cómo crear una página de producto que sí vende (estructura ganadora),https://www.youtube.com/watch?v=3B3G0e3OodY,F2_producto_nicho;F4_tienda_canal,elegir_o_mejorar_producto;configurar_tienda_canal,Clase paso a paso sobre crear una página de producto que sí vende (estructura ganadora).,"Guiar al alumno a estructurar una página/ficha de producto que comunique valor, confianza y CTA claro.",Recomendar cuando el alumno pida ayuda con: cómo crear una página de producto que sí vende (estructura ganadora).,Aplicar la estructura al producto actual y enviar link/captura para revisión.
5,puIgffrMh48,🔒 Cómo generar confianza en tu tienda online (y vender más),https://www.youtube.com/watch?v=puIgffrMh48,F4_tienda_canal;F5_contenido_lanzamiento;F6_ventas_cierre,configurar_tienda_canal;crear_contenido;ventas_cierre,Clase paso a paso sobre generar confianza en tu tienda online (y vender más).,Mostrar elementos que reducen desconfianza en tienda online y mejoran la decisión de compra.,Recomendar cuando el alumno pida ayuda con: cómo generar confianza en tu tienda online (y vender más).,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
6,QK0WxqxwH9w,🎥 Cómo crear videos con IA para redes sociales (sin experiencia),https://www.youtube.com/watch?v=QK0WxqxwH9w,F5_contenido_lanzamiento,crear_contenido,Clase paso a paso sobre crear videos con IA para redes sociales (sin experiencia).,"Enseñar uso práctico de IA para crear recursos de ecommerce: imágenes, videos, ideas o contenido.",Recomendar cuando el alumno pida ayuda con: cómo crear videos con ia para redes sociales (sin experiencia).,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
7,N5mWmcIgT7Y,🎨 Cómo diseñar imágenes para redes sociales que sí venden,https://www.youtube.com/watch?v=N5mWmcIgT7Y,F5_contenido_lanzamiento,crear_contenido,Clase paso a paso sobre diseñar imágenes para redes sociales que sí venden.,"Enseñar uso práctico de IA para crear recursos de ecommerce: imágenes, videos, ideas o contenido.",Recomendar cuando el alumno pida ayuda con: cómo diseñar imágenes para redes sociales que sí venden.,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
8,ZZnQDiuqvUU,🤖 Cómo crear imágenes con IA para vender más (Paso a paso),https://www.youtube.com/watch?v=ZZnQDiuqvUU,F5_contenido_lanzamiento;F6_ventas_cierre,crear_contenido;ventas_cierre,Clase paso a paso sobre crear imágenes con IA para vender más (Paso a paso).,"Enseñar uso práctico de IA para crear recursos de ecommerce: imágenes, videos, ideas o contenido.",Recomendar cuando el alumno pida ayuda con: cómo crear imágenes con ia para vender más (paso a paso).,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
9,UkXAV4YJLeE,✨ Haz que tu marca brille en instagram,https://www.youtube.com/watch?v=UkXAV4YJLeE,F5_contenido_lanzamiento,crear_contenido,Clase de apoyo sobre Haz que tu marca brille en instagram aplicada a ecommerce/dropshipping.,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: haz que tu marca brille en instagram.,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
10,U_yjGUEw4Qk,🤖 Cómo usar IA para tu ecommerce y vender más (guía práctica),https://www.youtube.com/watch?v=U_yjGUEw4Qk,F1_entender_modelo;F5_contenido_lanzamiento;F6_ventas_cierre,aprender_desde_cero;crear_contenido;ventas_cierre,Clase paso a paso sobre usar IA para tu ecommerce y vender más (guía práctica).,"Enseñar uso práctico de IA para crear recursos de ecommerce: imágenes, videos, ideas o contenido.",Recomendar cuando el alumno pida ayuda con: cómo usar ia para tu ecommerce y vender más (guía práctica).,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
11,Y5B553dbYxo,🚀 Estructura de reels y publicaciones | Clase con los expertos | Be Global Pro,https://www.youtube.com/watch?v=Y5B553dbYxo,F5_contenido_lanzamiento,crear_contenido,Clase de apoyo sobre Estructura de reels y publicaciones aplicada a ecommerce/dropshipping.,Dar estructura práctica para crear contenido que atraiga atención y lleve a la venta sin empezar desde cero.,Recomendar cuando el alumno pida ayuda con: estructura de reels y publicaciones.,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
12,mnN6qkRstXM,🔥 Hacks para vender en redes sociales (lo que sí funciona) | Clase completa,https://www.youtube.com/watch?v=mnN6qkRstXM,F5_contenido_lanzamiento;F6_ventas_cierre,crear_contenido;ventas_cierre,Clase de apoyo sobre Hacks para vender en redes sociales (lo que sí funciona) aplicada a ecommerce/dropshipping.,"Enseñar uso práctico de IA para crear recursos de ecommerce: imágenes, videos, ideas o contenido.",Recomendar cuando el alumno pida ayuda con: hacks para vender en redes sociales (lo que sí funciona).,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
