id,kind,title,url,duration_sec,phases,intents,recommendation_score,source,transcript_status,playlist_id,playlist_title,position,summary,abstract,purpose,watch_when,next_task
f5lKVWyaQZw,video,💸 Cómo aumentar tu ticket de venta (gana más con los mismos clientes),https://www.youtube.com/watch?v=f5lKVWyaQZw,1673.0,F6_ventas_cierre|F2_producto_nicho|F8_optimizacion_escala,mejorar_ventas|elegir_o_mejorar_producto|ventas_cierre|optimizar_escalar,1,@beglobalpro,pending,PLB2yHEZRRHUbcs8oYALuFlXlpe8HCgA7n,Capacitaciones en vivo de expertos,1,Clase paso a paso sobre aumentar tu ticket de venta (gana más con los mismos clientes).,,"Ayudar a aumentar el valor promedio por pedido usando oferta, bundles, upsells o mejor presentación de valor.",Recomendar cuando el alumno pida ayuda con: cómo aumentar tu ticket de venta (gana más con los mismos clientes).,Aplicar 1 mejora a la oferta o mensaje de venta y mandar evidencia.
4LQahV-Kxvg,video,🛒 Cómo crear una página de producto que sí vende (Parte 2),https://www.youtube.com/watch?v=4LQahV-Kxvg,2428.0,F2_producto_nicho|F4_tienda_canal,elegir_producto|configurar_tienda|elegir_o_mejorar_producto|configurar_tienda_canal,1,@beglobalpro,pending,PLB2yHEZRRHUbcs8oYALuFlXlpe8HCgA7n,Capacitaciones en vivo de expertos,2,"Continuación práctica de “Cómo crear una página de producto que sí vende (Parte 2)”, enfocada en aterrizar estructura, elementos y ajustes para mejorar conversión.",,"Guiar al alumno a estructurar una página/ficha de producto que comunique valor, confianza y CTA claro.",Recomendar cuando el alumno pida ayuda con: cómo crear una página de producto que sí vende (parte 2).,Aplicar la estructura al producto actual y enviar link/captura para revisión.
2cNPkhipNuc,video,📲 Cómo crear videos virales sin empezar desde cero (estrategia fácil),https://www.youtube.com/watch?v=2cNPkhipNuc,4599.0,F1_entender_modelo|F5_contenido_lanzamiento,aprender_desde_cero|crear_contenido,2,@beglobalpro,pending,PLB2yHEZRRHUbcs8oYALuFlXlpe8HCgA7n,Capacitaciones en vivo de expertos,3,Clase paso a paso sobre crear videos virales sin empezar desde cero (estrategia fácil).,,Dar estructura práctica para crear contenido que atraiga atención y lleve a la venta sin empezar desde cero.,Recomendar cuando el alumno pida ayuda con: cómo crear videos virales sin empezar desde cero (estrategia fácil).,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
3B3G0e3OodY,video,🛒 Cómo crear una página de producto que sí vende (estructura ganadora),https://www.youtube.com/watch?v=3B3G0e3OodY,4091.0,F2_producto_nicho|F4_tienda_canal,elegir_producto|configurar_tienda|elegir_o_mejorar_producto|configurar_tienda_canal,1,@beglobalpro,pending,PLB2yHEZRRHUbcs8oYALuFlXlpe8HCgA7n,Capacitaciones en vivo de expertos,4,Clase paso a paso sobre crear una página de producto que sí vende (estructura ganadora).,,"Guiar al alumno a estructurar una página/ficha de producto que comunique valor, confianza y CTA claro.",Recomendar cuando el alumno pida ayuda con: cómo crear una página de producto que sí vende (estructura ganadora).,Aplicar la estructura al producto actual y enviar link/captura para revisión.
puIgffrMh48,video,🔒 Cómo generar confianza en tu tienda online (y vender más),https://www.youtube.com/watch?v=puIgffrMh48,2992.0,F4_tienda_canal|F5_contenido_lanzamiento|F6_ventas_cierre,configurar_tienda|crear_contenido|mejorar_ventas|configurar_tienda_canal|ventas_cierre,1,@beglobalpro,pending,PLB2yHEZRRHUbcs8oYALuFlXlpe8HCgA7n,Capacitaciones en vivo de expertos,5,Clase paso a paso sobre generar confianza en tu tienda online (y vender más).,,Mostrar elementos que reducen desconfianza en tienda online y mejoran la decisión de compra.,Recomendar cuando el alumno pida ayuda con: cómo generar confianza en tu tienda online (y vender más).,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
QK0WxqxwH9w,video,🎥 Cómo crear videos con IA para redes sociales (sin experiencia),https://www.youtube.com/watch?v=QK0WxqxwH9w,4722.0,F5_contenido_lanzamiento,crear_contenido,1,@beglobalpro,pending,PLB2yHEZRRHUbcs8oYALuFlXlpe8HCgA7n,Capacitaciones en vivo de expertos,6,Clase paso a paso sobre crear videos con IA para redes sociales (sin experiencia).,,"Enseñar uso práctico de IA para crear recursos de ecommerce: imágenes, videos, ideas o contenido.",Recomendar cuando el alumno pida ayuda con: cómo crear videos con ia para redes sociales (sin experiencia).,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
N5mWmcIgT7Y,video,🎨 Cómo diseñar imágenes para redes sociales que sí venden,https://www.youtube.com/watch?v=N5mWmcIgT7Y,3424.0,F5_contenido_lanzamiento,crear_contenido,1,@beglobalpro,pending,PLB2yHEZRRHUbcs8oYALuFlXlpe8HCgA7n,Capacitaciones en vivo de expertos,7,Clase paso a paso sobre diseñar imágenes para redes sociales que sí venden.,,"Enseñar uso práctico de IA para crear recursos de ecommerce: imágenes, videos, ideas o contenido.",Recomendar cuando el alumno pida ayuda con: cómo diseñar imágenes para redes sociales que sí venden.,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
ZZnQDiuqvUU,video,🤖 Cómo crear imágenes con IA para vender más (Paso a paso),https://www.youtube.com/watch?v=ZZnQDiuqvUU,3943.0,F5_contenido_lanzamiento|F6_ventas_cierre,aprender_desde_cero|crear_contenido|mejorar_ventas|ventas_cierre,2,@beglobalpro,pending,PLB2yHEZRRHUbcs8oYALuFlXlpe8HCgA7n,Capacitaciones en vivo de expertos,8,Clase paso a paso sobre crear imágenes con IA para vender más (Paso a paso).,,"Enseñar uso práctico de IA para crear recursos de ecommerce: imágenes, videos, ideas o contenido.",Recomendar cuando el alumno pida ayuda con: cómo crear imágenes con ia para vender más (paso a paso).,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
UkXAV4YJLeE,video,✨ Haz que tu marca brille en instagram,https://www.youtube.com/watch?v=UkXAV4YJLeE,2848.0,F5_contenido_lanzamiento,crear_contenido,1,@beglobalpro,pending,PLB2yHEZRRHUbcs8oYALuFlXlpe8HCgA7n,Capacitaciones en vivo de expertos,9,Clase de apoyo sobre Haz que tu marca brille en instagram aplicada a ecommerce/dropshipping.,,Complementar la guía del chat con una clase práctica de Be Global Pro relacionada con la petición del alumno.,Recomendar cuando el alumno pida ayuda con: haz que tu marca brille en instagram.,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
U_yjGUEw4Qk,video,🤖 Cómo usar IA para tu ecommerce y vender más (guía práctica),https://www.youtube.com/watch?v=U_yjGUEw4Qk,3846.0,F1_entender_modelo|F5_contenido_lanzamiento|F6_ventas_cierre,aprender_desde_cero|crear_contenido|mejorar_ventas|ventas_cierre,2,@beglobalpro,pending,PLB2yHEZRRHUbcs8oYALuFlXlpe8HCgA7n,Capacitaciones en vivo de expertos,10,Clase paso a paso sobre usar IA para tu ecommerce y vender más (guía práctica).,,"Enseñar uso práctico de IA para crear recursos de ecommerce: imágenes, videos, ideas o contenido.",Recomendar cuando el alumno pida ayuda con: cómo usar ia para tu ecommerce y vender más (guía práctica).,"Crear 1 pieza de contenido y enviarla para revisar gancho, claridad y CTA."
